Cites,Authors,Title,Year,keywords,Affiliations,PapersNum
11,S Alzahrani,Cross-Language Semantic Similarity of Arabic-English Short Phrases and Sentences,2016,"Semantic Similarity, Cross-Language, Machine Translation,Arabic, English",Taif Univeristy,
7,S Alzahrani,Development of IoT mining machine for Twitter sentiment analysis: mining in the cloud and results on the mirror,2018,IoT; Sentiment Analysis; Opinion Mining; Twitter;Social Internet of Things,Taif Univeristy,
22,S Alzahrani,Existing plagiarism detection techniques,2015,"Taxonomy, Detection, Techniques, Processes, Plagiarism",Taif Univeristy,
1,S Alzahrani,Feedback on Using Virtual Classrooms for Teaching Blended Computer Science and Information Technology Courses at Taif University,2015,"Blended learning, Computer science, Information technology, Online course, Virtual classroom",Taif Univeristy,
2,S Alzahrani,Figure Plagiarism Detection Using Content-Based Features,2017,"Figure plagiarism detection, Content feature, Similarity detection ",Taif Univeristy,
1,S Alzahrani,Figure Plagiarism Detection based on Textual Features representation,2017,"Figure , plagiarism detection , Textual-reference based , similarity detection",Taif Univeristy,
0,S Alzahrani,Framework for Plagiarism Detection Using Logical Tree-Structured Features and Multi-Layer Clustering,2016,"logical organisation, tree-structured features, clustering, plagiarism detection",Taif Univeristy,
75,S Alzahrani,Fuzzy Semantic-Based String Similarity for Extrinsic Plagiarism Detection Lab Report for PAN at CLEF 2010,2010,,Taif Univeristy,
75,S Alzahrani,Fuzzy semantic-based string similarity for extrinsic plagiarism detection,2010,,Taif Univeristy,
2,S Alzahrani,Identifying cross-lingual plagiarism using rich semantic features and deep neural networks: A study on Arabic-English plagiarism cases,2020,"Semantic similarity,Plagiarism detection,Natural language processing,Neural networks",Taif Univeristy,
5,S Alzahrani,"Naomie Salim Fuzzy semantic-based string similarity for extrinsic plagiarism detection: Lab report for PAN at CLEF’10,” presented at the 4th Int",2010,,Taif Univeristy,
41,S Alzahrani,On the use of fuzzy information retrieval for gauging similarity of arabic documents,2009,"Information Retrieval , Fuzzy IR , Arabic , Similarity",Taif Univeristy,
0,S Alzahrani,Ontology Learning and Mapping to Detect Idea Plagiarism.,2013,,Taif Univeristy,
0,S Alzahrani,Parallel programming approaches for efficient natural language processing of big data,2016,parallel computing; NLP; Natural Language Processing; accelerate processing; mutli-core machines,Taif Univeristy,
4,S Alzahrani,Plagiarism Auto-Detection in Arabic Scripts using Statement-based Fingerprint Matching,2009,,Taif Univeristy,
0,S Alzahrani,Plagiarism Screening in Scientific Publications Using Structural Information and Fuzzy Semantic Similarity,2012,,Taif Univeristy,
8,S Alzahrani,Plagiarism auto-detection in arabic scripts using statement-based fingerprints matching and fuzzy-set information retrieval,2009,,Taif Univeristy,
24,S Alzahrani,Plagiarism detection in Arabic scripts using fuzzy information retrieval,2008,fuzzy-set information retrieval; Arabic; plagiarism detection,Taif Univeristy,
1,S Alzahrani,Plagiarism detection techniques,2008,,Taif Univeristy,
22,S Alzahrani,Sensing for the Internet of Things and its applications,2017,"IoT,sensing,sensors,GPS,ultrasound,liquid,weather,smoke,soil",Taif Univeristy,
1,S Alzahrani,Spatial role labelling in Arabic using probabilistic classifiers,2016,"Arabic ,Spatial features, Trajector, Landmark, Annotation ,Spatial role labelling, Probabilistic classifier, SVM",Taif Univeristy,
0,S Alzahrani,Statement-Based Fuzzy-Set Information Retrieval versus Fingerprints Matching for Plagiarism Detection in Arabic Documents,2009,,Taif Univeristy,
26,S Alzahrani,Statement-based fuzzy-set IR versus fingerprints matching for plagiarism detection in Arabic documents,2009,,Taif Univeristy,
6,S Alzahrani,The development of cross-language plagiarism detection tool utilising fuzzy swarm-based summarisation,2010,"cross-language , web-based , fuzzy swarm-based summarisation , plagiarism detection",Taif Univeristy,
0,S Alzahrani,The influence of high altitude on the anticipated childhood growth Taif city-Saudi Arabia 2018: A cross sectional study,2018,"Children, Growth, High altitude, Hypoxia, Weight, Height",Taif Univeristy,
20,S Alzahrani,Uncovering highly obfuscated plagiarism cases using fuzzy semantic-based similarity model,2015,Feature extraction;Fuzzy similarity;Obfuscation;Plagiarism detection;Semantic similarity,Taif Univeristy,
313,S Alzahrani,"Understanding plagiarism linguistic patterns, textual features, and detection methods",2011,"Linguistic patterns, plagiarism, plagiarism detection, taxonomy, textual features",Taif Univeristy,
32,S Alzahrani,Using structural information and citation evidence to detect significant plagiarism cases in scientific publications,2012,,Taif Univeristy,
0,S Alzahrani,Venue-Popularity Prediction Using Social Data Participatory Sensing Systems and RNNs,2020,"City dynamics, venue-popularity detection, participatory sensing system, recurrent neural network, social data",Taif Univeristy,
11,S Alzahrani,Work in progress: Developing Arabic plagiarism detection tool for e-learning systems,2009,"E-Learning , Web-Enabled Tool , Plagiarism Detection , Arabic",Taif Univeristy,
15,S Alzahrani,iPlag: intelligent plagiarism reasoner in scientific publications,2011,intelligent reasoner; plagiarism detection; semantic; scientific publications ,Taif Univeristy,
0,R Alroobaea,A Decision Support System for Detecting Age and Gender from Twitter Feeds based on a Comparative Experiments,2020,Decision support system;age detection;gender detection;author profiling;deep learning;machine learning,Taif Univeristy,
0,R Alroobaea,"A Deep learning Model to predict gender, age and occupation of the celebrities based on tweets followers",2020,,Taif Univeristy,
0,R Alroobaea,A Formal Approach To Validate Block-Chains,2020,"BlockChains, Formal Methods, Model Based Testing, Generation, Execution",Taif Univeristy,
0,R Alroobaea,A Formal Testing Model for Operating Room Control System Using Internet of Things,2021,Communication; Internet of Things; control rooms; sensors;cloud; robot,Taif Univeristy,
38,R Alroobaea,A Hybrid DV-Hop Algorithm Using RSSI for Localization in Large-Scale Wireless Sensor Networks.,2018,WSN; localization; DV-Hop; RSSI; IoT; multihop,Taif Univeristy,
18,R Alroobaea,A comparative study of synchronous and asynchronous remote usability testing methods,2013,"Usability testing, Remote usability testing, Synchronous and Asynchronous remote usability testing",Taif Univeristy,
10,R Alroobaea,A framework for generating a domain specific inspection evaluation method: A comparative study on social networking websites,2013,Heuristic evaluation (HE); User Testing (UT);Domain Specific Inspection (DSI); methodological framework; social networks domain,Taif Univeristy,
9,R Alroobaea,A framework for generating domain-specific heuristics for evaluating online educational websites-Further validation,2013,Heuristic evaluation (HE);User testing(UT);Framework; Nielsen’s heuristics (NH); Educational Heuristics (EH); Usability problem and Severity rating,Taif Univeristy,
11,R Alroobaea,A new model-based framework for testing security of iot systems in smart cities using attack trees and price timed automata,2019,"Model-Based, Testing, Security, Internet of Things, IoT, Smart Cities, Attack Tree, Price Timed Automaton,UPPAALL, TTCN-3, Cloud",Taif Univeristy,
0,R Alroobaea,Aiding Traffic Prediction Servers through Self-Localization to Increase Stability in Complex Vehicular Clustering,2021,,Taif Univeristy,
1,R Alroobaea,An Empirical Comparison of the Efficiency and Effectiveness of Genetic Algorithms and Adaptive Random Techniques in Data-Flow Testing,2020,"Adaptive random testing, data-flow testing, genetic algorithms, test data generation",Taif Univeristy,
2,R Alroobaea,An Empirical combination of Machine Learning models to Enhance author profiling performance,2020,"Profiling, Gender, Age, Machine Learning, Deep Learning",Taif Univeristy,
0,R Alroobaea,Automated Drowsiness Detection Through Facial Features Analysis,2019,"Facial expression, drowsiness detection,circular Hough transform, Haar features, band power,empirical mode decomposition",Taif Univeristy,
15,R Alroobaea,Automatic seizure detection in a mobile multimedia framework,2018,"Mobile multimedia healthcare, seizure detection, convolutional neural network, SVM, EEGsignals",Taif Univeristy,
8,R Alroobaea,Bayesian inference framework for bounded generalized Gaussian‐based mixture model and its application to biomedical images classification,2019,"Bayesian inference, biomedical imaging, bounded mixture models, generalized Gaussian distribution, image classification, Markov chain Monte Carlo (MCMC)",Taif Univeristy,
9,R Alroobaea,Breakthrough percepts of famous faces,2018,"Familiarity, famous faces, EEG/ERP, P3, RSVP, Time-frequency analyses, Deception Detection",Taif Univeristy,
12,R Alroobaea,Building a Conceptual Framework for Mobile Transaction in Saudi Arabia: A User” s Perspective Building a Conceptual Framework for Mobile Transaction in Saudi Arabia: A User s …,2014,Mobile Technologies; E-Commerce; MTransaction; Conceptual Framework; Acceptance; Developing Countries ,Taif Univeristy,
3,R Alroobaea,Color object segmentation and tracking using flexible statistical model and level-set,2020,"Color image segmentation, Object tracking ,Mixture bounded model, Feature selection ,Minimum message length, Level-set",Taif Univeristy,
6,R Alroobaea,DNA and plaintext dependent chaotic visual selective image encryption,2020,"Security, deoxyribonucleic acid (DNA), diffusion, confusion, encryption, chaos",Taif Univeristy,
1,R Alroobaea,Deep learning model for identifying the Arabic language learners based on gated recurrent unit network,2020,Arabic; Native Language Identification (NLI); deep learning; Gated Recurrent Unit Network (GRUN),Taif Univeristy,
18,R Alroobaea,Deriving Probabilistic SVM Kernels From Flexible Statistical Mixture Models and its Application to Retinal Images Classification,2018,"Retinal images, scaled Dirichlet mixture, SVM, generative-discriminative learning, MDL,probabilistic kernels",Taif Univeristy,
2,R Alroobaea,Detection of single-trial EEG of the neural correlates of familiar faces recognition using machine-learning algorithms,2019,"EEG data, Machine learning, Kernels, KNN,SVM, Decision Tree, Random Forest, Neural Network,Adaboost and Naive Bayes, Kernels, Radial Basis Function, Sigmoid",Taif Univeristy,
7,R Alroobaea,Developing specific usability heuristics for evaluating the android applications,2017,"Mobile Device ,User Testing, Usability Problem, Real User, Android Application ",Taif Univeristy,
0,R Alroobaea,Do digital students show an inclination toward continuous use of academic library applications? A case study,2020,"Digital library,Library knowledge,Mobile library service,Continuance usage intention,Post-adoption behaviour",Taif Univeristy,
3,R Alroobaea,Economic denial of sustainability attacks Mitigation in the cloud,2017,"Cloud Computing, DDoS, Denial of Service,Distributed Denial of Service attacks, DoS, Economic Denial of Sustainability, EDoS",Taif Univeristy,
4,R Alroobaea,Effect of user sessions on the heuristic usability method,2018,"Heuristic Evaluation, Inspection Usability, Non-Expert Evaluator, Usability, Usability Testing, User Session",Taif Univeristy,
0,R Alroobaea,Efficient Statistical Learning Framework with Applications to Human Activity and Facial Expression Recognition,2020,"Machine learning , Multivariate Generalized Gaussian mixture models , Bayesian learning , Face expression recognition , Human action recognition , MCMC",Taif Univeristy,
0,R Alroobaea,"Factors in the Design, Implementation and Usability Evaluation of Online Clearance System: A Case Study of Taif University",2018,"E-Govemance, Online clearance system, Cognitive walkthrough , User testin g, Usability attributes",Taif Univeristy,
3,R Alroobaea,Flexible Statistical Learning Model for Unsupervised Image Modeling and Segmentation,2019,,Taif Univeristy,
0,R Alroobaea,Fuzzy Logic Based Model For Optimizing Inventory Cost,2018,"FuzzyLogic, [nventory Cost",Taif Univeristy,
0,R Alroobaea,Gain analysis of high-speed DWDM link with different optical amplification configurations,2020,"Gain analysis, EDFA, hybrid amplifiers, positional configuration",Taif Univeristy,
2,R Alroobaea,Generating a domain specific checklist through an adaptive framework for evaluating social networking websites,2013,Heuristic evaluation (HE); User Testing (UT);Domain Specific Inspection (DSI); social networks domain; social networks checklist,Taif Univeristy,
16,R Alroobaea,Generating a domain specific inspection evaluation method through an adaptive framework: A comparative study on educational websites,2013,"Heuristic Evaluation (HE), User Testing (UT), Domain Specific Inspection (DSI),Adaptive Framework, Educational Domain",Taif Univeristy,
1,R Alroobaea,Generating a domain-specific inspection method through an adaptive framework,2015,,Taif Univeristy,
3,R Alroobaea,Generating an Educational Domain Checklist through an Adaptive Framework for Evaluating Educational Systems,2013,Heuristic evaluation (HE);User Testing (UT);Domain Specific Inspection (DSI); Adaptive Framework; Adaptive Checklist ,Taif Univeristy,
56,R Alroobaea,How many participants are really enough for usability studies?,2014,Heuristic evaluation (HE); User Testing (UT);Domain Specific Inspection (DSI); methodological framework; sample size ,Taif Univeristy,
25,R Alroobaea,Improving usability of social networking systems: a case study of LinkedIn,2013,"Usability testing, social networks, heuristic evaluation, cognitive walkthrough, field observation, think-aloud, expert evaluation, user testing",Taif Univeristy,
15,R Alroobaea,Investigating the usability of e-catalogues systems: modified heuristics vs. user testing,2013,"E-commerce, E-catalogues, Heuristic Evaluation, Usability Testing",Taif Univeristy,
6,R Alroobaea,Investigation into the impact of the usability factor on the acceptance of mobile transactions: Empirical study in Saudi Arabia,2015,"Mobile Transaction, Mobile Usability, Souq.com, IT Innovation Acceptance, Human Computer Interaction",Taif Univeristy,
0,R Alroobaea,Location Prediction in a Smart Environment,2019,Location prediction; context; pattern; Bayesian network,Taif Univeristy,
2,R Alroobaea,Mitigation of Distributed Denial of Service Attacks in the Cloud,2017,"Information processes, cloud computing, security, denial of service, distributed denial of service attacks, economical denial of sustainability",Taif Univeristy,
0,R Alroobaea,Mobility Prediction in Pervasive Context-Awareness System,2018,"Location prediction, pervasive system, contextaware system, Bayesian network, ontological probabilistic model",Taif Univeristy,
33,R Alroobaea,Network anomaly intrusion detection using a nonparametric bayesian approach and feature selection,2019,"Intrusion detection systems (IDS), anomaly intrusion detection, infinite mixture models, bounded generalized Gaussian models, Bayesian inference, Markov chain Monte Carlo (MCMC)",Taif Univeristy,
0,R Alroobaea,Ontological Model to Predict user Mobility,2019,Context prediction; pervasive system; context-aware system; pattern; ontology; ontological model,Taif Univeristy,
11,R Alroobaea,"Performance evaluation of Xen, KVM, and proxmox hypervisors",2018,"Cloud Computing, Hypervisor, Performance, Virtualization",Taif Univeristy,
0,R Alroobaea,Recent Advances in Digital Multimedia Tampering Detection for Forensics Analysis,2020,digital forensics; multimedia tampering; image/video processing; data mining; pattern recognition; taxonomy; survey,Taif Univeristy,
0,R Alroobaea,Robust Malware Detection using Residual Attention Network,2020,"CyberCrime, Cyber Security, Residual attention, Convolutional Neural Network, Deep learning",Taif Univeristy,
2,R Alroobaea,Saudi Arabia Stock Market Prediction Using Neural Network,2018,stock market prediction; Saudi Arabia stock prediction; neural network stock prediction,Taif Univeristy,
27,R Alroobaea,Security Testing of Internet of Things for Smart City Applications: A Formal Approach,2019,,Taif Univeristy,
0,R Alroobaea,Smart Infrastructure and Applications,2020,,Taif Univeristy,
7,R Alroobaea,"Smart Societies, Infrastructure, Technologies and Applications: First International Conference, SCITA 2017, Jeddah, Saudi Arabia, November 27–29, 2017, Proceedings",2018,,Taif Univeristy,
4,R Alroobaea,Supervised Machine Learning of KFCG Algorithm and MBTC features for efficient classification of Image Database and CBIR Systems,2018,CBIR; KFCG; MBTC; SVM; MATLAB,Taif Univeristy,
4,R Alroobaea,TEPaaS: test execution platform as-a-service applied in the context of e-health,2019,distributed testing; service-based systems; cloud testing; testing as-a-service; TEPaaS; e-health,Taif Univeristy,
1,R Alroobaea,The impact of the combination between task designs and think-aloud approaches on website evaluation,2013,"Specific task, Guess task, Free task, Concurrent, Retrospective, Constructive Interaction approaches",Taif Univeristy,
3,R Alroobaea,The impact of usability of online library catalogues on the user performance,2014,Online libraries catalogue; Concurrent ThinkingAloud method; Ergonomic quality; Usability attribute,Taif Univeristy,
4,R Alroobaea,The impact of usability on e-marketing strategy in international tourism industry,2014,E-marketing strategy; Tourism industry; Usability;User testing; Think-aloud,Taif Univeristy,
0,R Alroobaea,"Toward Effective Medical Image Analysis Using Hybrid Approaches—Review, Challenges and Applications",2020,medical image analysis; segmentation; atlas-based registration; variational models; statistical approaches,Taif Univeristy,
3,R Alroobaea,Towards Optimizing the Placement of Security Testing Components for Internet of Things Architectures,2019,"Security Testing Components , Placement , Optimisation , Constraints , Objective Functions , Algorithms , Fog",Taif Univeristy,
13,R Alroobaea,Towards a model-based testing framework for the security of internet of things for smart city applications,2017,"Internet of Things, Smart cities, Security models ,Generation ,Coverage, Test ,Security ,Verdicts ",Taif Univeristy,
3,R Alroobaea,Towards a runtime standard-based testing framework for dynamic distributed information systems,2019,"Distributed, Information Systems, Runtime, Dynamic, Adaptable, TTCN-3, Testing, Isolation, Generation,Minimization, Classification",Taif Univeristy,
6,R Alroobaea,Towards a test execution platform as-a-service: Application in the e-health domain,2018,,Taif Univeristy,
0,R Alroobaea,Twitter-based reporting system for public infrastructure in Saudi Arabia,2019,"Open government, Public infrastructure, Twitter-based reporting system, Sentiment analysis, linguistic resources",Taif Univeristy,
0,R Alroobaea,Twitter-based reporting system for public infrastructure in Saudi Arabia,2017,,Taif Univeristy,
0,O Cheikhrouhou,A Secure Group Communication Mechanism in Cluster-Tree Wireless Sensor Networks,2009,,Taif Univeristy,
6,O Cheikhrouhou,A cloud based disaster management system,2020,RLP; wireless sensor networks; cloud computing; disaster management; smart 3D virtual environment; traveling salesman problem,Taif Univeristy,
7,O Cheikhrouhou,A clustering market-based approach for multi-robot emergency response applications,2016,,Taif Univeristy,
28,O Cheikhrouhou,A distributed market-based algorithm for the multi-robot assignment problem,2014,"Task Assignment, Market-based Algorithms, Multi-Robot Task Allocation, ROS",Taif Univeristy,
38,O Cheikhrouhou,A hybrid DV-hop algorithm using RSSI for localization in large-scale wireless sensor networks,2018,WSN; localization; DV-Hop; RSSI; IoT; multihop,Taif Univeristy,
45,O Cheikhrouhou,A lightweight user authentication scheme for wireless sensor networks,2010,"user authentication, wireless sensor networks,WSNs, mutual authentication, session key agreement",Taif Univeristy,
17,O Cheikhrouhou,A pairing identity based key management protocol for heterogeneous wireless sensor networks,2009,Key managemet; Pairing; Sensor network,Taif Univeristy,
24,O Cheikhrouhou,A parking management system using wireless sensor networks,2011,Wireless Sensor Networks; CC2430; SmartRF04EB; ZigBee; J2EE,Taif Univeristy,
0,O Cheikhrouhou,AI-based Pilgrim Detection using Convolutional Neural Networks,2020,"Pilgrim Detection, Convolutional Neural Networks, Deep Learning, You Only Look Once (Yolo), Faster R-CNN",Taif Univeristy,
0,O Cheikhrouhou,AI-based Pilgrim Detection using Convolutional Neural Networks,2019,,Taif Univeristy,
13,O Cheikhrouhou,An EAP-EHash authentication method adapted to resource constrained terminals,2010,,Taif Univeristy,
19,O Cheikhrouhou,An ID-based user authentication scheme for Wireless Sensor Networks using ECC,2011,component; WSN; User authentication; ECC;Public Key Cryptography (PKC); Two Tiered Architecture;Identity-based,Taif Univeristy,
4,O Cheikhrouhou,An analytical hierarchy process-based approach to solve the multi-objective multiple traveling salesman problem,2018,"Assignment , MTSP , Multiple depots , Multi-objective problem , AHP",Taif Univeristy,
2,O Cheikhrouhou,An efficient secure scheme for wireless sensor networks,2016,Authentication; Communication system security; WSNs,Taif Univeristy,
5,O Cheikhrouhou,Analytical hierarchy process based multi-objective multiple traveling salesman problem,2016,,Taif Univeristy,
0,O Cheikhrouhou,Architecture de sécurité dans un réseau mesh multi sauts,2007,,Taif Univeristy,
1,O Cheikhrouhou,Attacks and improvement of “security enhancement for a dynamic id-based remote user authentication scheme”,2009,,Taif Univeristy,
1,O Cheikhrouhou,Background on Artificial Intelligence Algorithms for Global Path Planning,2018,,Taif Univeristy,
0,O Cheikhrouhou,Biomedical WSN Application Based on Dynamic Configuration,2009,,Taif Univeristy,
6,O Cheikhrouhou,Blockloc: Secure localization in the internet of things using blockchain,2019,,Taif Univeristy,
102,O Cheikhrouhou,Co-RPL: RPL routing for mobile low power wireless sensor networks using Corona mechanism,2014,,Taif Univeristy,
2,O Cheikhrouhou,Deep learning-based intelligent face recognition in IoT-cloud environment,2020,"Deep neural network,Intelligent face recognition,Healthcare-IoT,Cloud environment",Taif Univeristy,
0,O Cheikhrouhou,Design and Evaluation of Intelligent Global Path Planning Algorithms,2018,"Robot path planning, exact methods, heuristic methods, large grid environments",Taif Univeristy,
2,O Cheikhrouhou,Different approaches to solve the MRTA problem,2018,,Taif Univeristy,
42,O Cheikhrouhou,Dronemap Planner: A service-oriented cloud-based management system for the Internet-of-Drones,2019,"Unmanned aerial vehicle,IoD ,MAVLink, ROS, Cloud",Taif Univeristy,
15,O Cheikhrouhou,Establishing pairwise keys in heterogeneous two-tiered wireless sensor networks,2009,"Security, Heterogeneous Sensor networks,Random key pre-distribution, Pairing",Taif Univeristy,
24,O Cheikhrouhou,FL-MTSP: a fuzzy logic approach to solve the multi-objective multiple traveling salesman problem for multi-robot systems,2017,MD-MTSP · Fuzzy logic · Optimization problem · Multi-objective,Taif Univeristy,
2,O Cheikhrouhou,Framework for Efficient Medical Image Encryption Using Dynamic S-Boxes and Chaotic Maps,2020,"Bijective substitution box, chaotic map, image encryption",Taif Univeristy,
1,O Cheikhrouhou,General background on multi-robot task allocation,2018,,Taif Univeristy,
2,O Cheikhrouhou,Integration of global path planners in ROS,2018,,Taif Univeristy,
11,O Cheikhrouhou,Introduction to mobile robot path planning,2018,,Taif Univeristy,
20,O Cheikhrouhou,LNT: A logical neighbor tree secure group communication scheme for wireless sensor networks,2012,"Secure Group Communication (SGC), Wireless Sensor Networks (WSN), Group Key Management,Simulation, Analysis",Taif Univeristy,
8,O Cheikhrouhou,LNT: a logical neighbor tree for secure group management in wireless sensor networks,2011,"Secure group management, Group communication, Wireless sensor networks (WSNs), Security",Taif Univeristy,
3,O Cheikhrouhou,Leveraging deep learning techniques for malaria parasite detection using mobile application,2020,,Taif Univeristy,
2,O Cheikhrouhou,Light Deep Model for Pulmonary Nodule Detection from CT Scan Images for Mobile Devices,2020,,Taif Univeristy,
3,O Cheikhrouhou,Lightweight Trust Model with High Longevity for Wireless Sensor Networks.,2016,"The Wireless Sensor Network (WSN), Trust Management",Taif Univeristy,
0,O Cheikhrouhou,M-CNN: A New Hybrid Deep Learning Model for Web Security,2020,"Convolutional neural network , Recurrent neural network , LSTM , Web attacks",Taif Univeristy,
5,O Cheikhrouhou,MAVSec: Securing the MAVLink protocol for ardupilot/PX4 unmanned aerial systems,2019,"Unmanned Aerial Vehicle, Security, MAVLink, Encryption, GCS",Taif Univeristy,
0,O Cheikhrouhou,Master Project Implementation of security mechanisms for the ZigBee protocol standard,2019,,Taif Univeristy,
18,O Cheikhrouhou,Move and improve: A distributed multi-robot coordination approach for multiple depots multiple travelling salesmen problem,2014,"computational complexity , genetic algorithms , mobile robots , multi-robot systems , travelling salesman problems",Taif Univeristy,
10,O Cheikhrouhou,Move and improve: a market-based mechanism for the multiple depot multiple travelling salesmen problem,2017,,Taif Univeristy,
4,O Cheikhrouhou,Nouvelle méthode d'authentification EAP-EHash,2006,,Taif Univeristy,
0,O Cheikhrouhou,Performance Analysis of the MRTA Approaches for Autonomous Mobile Robot,2018,,Taif Univeristy,
1,O Cheikhrouhou,Poster: 3D Virtual Disaster Management Environment using Wireless Sensor Networks,2016,"Internet-of-Things, Wireless Sensor Networks, Disaster Management, 3D Virtual Environment",Taif Univeristy,
0,O Cheikhrouhou,RiSeG: A Ring Based Secure Group Communication Protocol for Wireless Sensor Networks,2010,"Secure group communication, Wireless sensor networks, Security, Key management, Group management",Taif Univeristy,
12,O Cheikhrouhou,RiSeG: A logical ring based secure group communication protocol for Wireless Sensor Networks,2010,,Taif Univeristy,
28,O Cheikhrouhou,RiSeG: a ring based secure group communication protocol for resource-constrained wireless sensor networks,2011,"Secure group communication ,Wireless sensor networks , Security , Key management ,Group management",Taif Univeristy,
2,O Cheikhrouhou,Robot Path Planning Using Cloud Computing for Large Grid Maps,2018,,Taif Univeristy,
16,O Cheikhrouhou,Robot Path Planning and Cooperation,2018,"Computational Intelligence,Intelligent Systems,Robot Cooperation,Robot Path Planning,Robotics",Taif Univeristy,
64,O Cheikhrouhou,Secure group communication in wireless sensor networks: a survey,2016,"Secure Group Communication (SGC),Wireless Sensor Networks (WSN),Group key management,Security,Survey",Taif Univeristy,
60,O Cheikhrouhou,Security architecture in a multi-hop mesh network,2006,"mesh network, ad-hoc network, authentication, EAP-TLS, PANA",Taif Univeristy,
6,O Cheikhrouhou,Security testing of internet of things for smart city applications: A formal approach,2020,,Taif Univeristy,
3,O Cheikhrouhou,Sql injection attack detection and prevention techniques using machine learning,2020,"SQL injection, Web security, Ontology, Machine Learning",Taif Univeristy,
9,O Cheikhrouhou,Sécurité des réseaux ad hoc,2005,,Taif Univeristy,
1,O Cheikhrouhou,Towards a distributed computation offloading architecture for cloud robotics,2019,"cloud robotics, processing offloading, distributed computing",Taif Univeristy,
13,O Cheikhrouhou,Towards a model-based testing framework for the security of internet of things for smart city applications,2017,"Internet of Things ,Smart cities ,Security models ,Generation ,Coverage ,Test, Security ,Verdicts ",Taif Univeristy,
7,O Cheikhrouhou,Web based interactive platform for learning by hearing,2012,"E-Learning , people with special need",Taif Univeristy,
20,O Cheikhrouhou,Z-cast: A multicast routing mechanism in zigbee cluster-tree wireless sensor networks,2010,,Taif Univeristy,
0,O Cheikhrouhou,in New Technologies of Dedicated Computer Systems,2006,,Taif Univeristy,
0,O Cheikhrouhou,sécurité des réseaux mesh sans fil: Du wifi au mesh,2010,,Taif Univeristy,
0,NA Qureshi,2014 IEEE 2nd International Workshop on Usability and Accessibility focused Requirements Engineering (UsARE),2014,,King Faisal University,
6,NA Qureshi,"A bit of"" Persona"", a bit of"" Goal"", a bit of"" Process""... a recipe for Analyzing User Intensive Software Systems.",2010,"Goal-Oriented paradigm, User-Centred Design, Requirements Engineering, Business Process Modeling",King Faisal University,
14,NA Qureshi,A design methodology for real services,2010,,King Faisal University,
1,NA Qureshi,A tool-supported development process for adaptive systems,2010,,King Faisal University,
4,NA Qureshi,Adaptive RML: A Requirements Modeling Language for Self-Adaptive Systems,2011,"Requirements Modeling, Self-Adaptive Systems",King Faisal University,
0,NA Qureshi,An Engineering approach to Integrate Non-Functional Requirements (NFR) to Achieve High Quality Software Process,2020,"Requirements Engineering, Quality Assurance, Non-Functional Requirements, Software Quality",King Faisal University,
7,NA Qureshi,An agent-based middleware for adaptive systems,2008,"Agent-oriented middleware , Agent-oriented software engineering , Self-adaptive software",King Faisal University,
4,NA Qureshi,Analyzing interoperability requirements for adaptive service-based applications: A goal-oriented approach,2010,"Interoperability Requirements , Goal-Oriented",King Faisal University,
4,NA Qureshi,Assurance using models at runtime for self-adaptive software systems,2013,,King Faisal University,
18,NA Qureshi,Continuous adaptive requirements engineering: An architecture for self-adaptive service-based applications,2010,"Requirements Engineering , Self-adaptive systems , Service based Applications",King Faisal University,
5,NA Qureshi,Education as a change agent,1997,,King Faisal University,
62,NA Qureshi,Engineering adaptive requirements,2009,"software engineering , systems analysis",King Faisal University,
4,NA Qureshi,Evolving requirements in socio-technical systems: concepts and practice,2011,"Evolving Requirements, Participatory Design, Law Compliance",King Faisal University,
4,NA Qureshi,First international workshop on usability and accessibility focused requirements engineering (UsARE 2012): summary report,2013,"Requirements engineering (RE), usability, accessibility, software development",King Faisal University,
0,NA Qureshi,Implementation of Continuous Adaptive Requirements Engineering (CARE) Framework,2014,,King Faisal University,
5,NA Qureshi,Inter platform agent mobility in FIPA compliant multi-agent systems,2005,"Agent,multi-agent systems , Inter-plorjrm mubilig",King Faisal University,
0,NA Qureshi,On Runtime Requirements Adaptation Problem for Self-Adaptive Systems,2010,"Requirements Engineering, Runtime, Adaptation Problem, Self-Adaptive Systems",King Faisal University,
0,NA Qureshi,Optimal and Economic Solution for eLaw Data Storage and Retrieval,2006,"XPath, ELaw, RDBMS, XLink, XML Schema, PostGresQL",King Faisal University,
0,NA Qureshi,"Proceedings of the 2nd International Workshop on Usability and Accessibility Focused Requirements Engineering, UsARE 2014",2014,,King Faisal University,
23,NA Qureshi,Reasoning about adaptive requirements for self-adaptive systems at runtime,2011,"Requirements Engineering , Planning , Feedback , Self-Adaptive Systems",King Faisal University,
68,NA Qureshi,Requirements engineering for adaptive service based applications,2010,"Requirements Engineering , Self-Adaptive Systems , Service Based Applications",King Faisal University,
7,NA Qureshi,Requirements engineering for self-adaptive software: bridging the gap between design-time and run-time,2011,,King Faisal University,
44,NA Qureshi,Requirements engineering for self-adaptive systems: Core ontology and problem statement,2011,"Requirements Engineering, Runtime, Adaptation Problem,Self-Adaptive Systems",King Faisal University,
13,NA Qureshi,Requirements monitoring for adaptive service-based applications,2012,"Requirements Monitoring, Self-Adaptive Systems, Services-Based Application ",King Faisal University,
